"","visitor_id","num_sessions","test_groups","session_id","device_class","params","days","city","country","price","tenant_fee","landlord_fee","total_paid","currency","test_status","instant_booking","user_verified","total_paid.EUR"
"96","995c3835ed3a540f636a892a68ab6e93b3426e19",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","e7625a003210bfb9dccb1c294b4eb119a463867a","phone","{""event_content"":{""hotjar_id"":""49854266"",""request_id"":""bc4f4cfd0a558c6ab4f8"",""request_status"":""finished""},""page"":{""request_id"":""bc4f4cfd0a558c6ab4f8"",""apartment_id"":""320701729b2dfa776351"",""start"":""2021-08-01"",""end"":""2021-10-31"",",91,"Raunheim","DE",1395.28,0,502.3008,4185.84,"EUR","test","Not_instant","Verified",4185.84
"97","9a8a289dc731ed0ed135a1514a5349ce436b7aa7",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","9a8a289dc731ed0ed135a1514a5349ce436b7aa7","tablet","{""event_content"":{""hotjar_id"":""448fdc0c"",""request_id"":""6e328c8bc4075cd9191c"",""request_status"":""booked""},""page"":{""request_id"":""6e328c8bc4075cd9191c"",""apartment_id"":""12175eb6260f6a2ca75d"",""start"":""2021-10-29"",""end"":""2021-12-01"",",33,"Barcelona","ES",1213.41,62.87,155.88,1299,"EUR","test","Instant","Verified",1299
"98","9b72bdf442446bb9f36192c18b1936bcb39bf577",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","9b72bdf442446bb9f36192c18b1936bcb39bf577","phone","{""event_content"":{},""page"":{""request_id"":""14a812222dc127237d46"",""apartment_id"":""1e134b11f7f88ced874e"",""start"":""2021-07-28"",""end"":""2021-10-31"",",95,"Ostfildern","DE",1336,236,413.0328,3441.94,"EUR","test","Not_instant","Verified",3441.94
"99","a28b6fbbe23a1ca1030830a09bb5b54001250a05",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","a09a932a44b2177deb781536def9445bd9b72bec","desktop","{""event_content"":{""hotjar_id"":""3f36716a"",""path"":""/request/ff18361fba600fd65e29/success""},""page"":{""request_id"":""ff18361fba600fd65e29"",""apartment_id"":""24ba5a96248e4154a0ef"",""start"":""2021-07-19"",""end"":""2021-08-18"",",30,"Utrecht","NL",1695,0,203.4,1695,"EUR","control","Not_instant","Verified",1695
"100","a86028ff9299340ed31852944ef0e82dcb68f735",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","a86028ff9299340ed31852944ef0e82dcb68f735","phone","{""event_content"":{},""page"":{""request_id"":""537f876e6c47b9d18a4d"",""apartment_id"":""6a325edb5579a1eb42a8"",""start"":""2021-07-24"",""end"":""2021-08-24"",",31,"Villejuif","FR",958.88,118,104.16,868,"EUR","test","Not_instant","Verified",868
"101","a89a28f3bb437e9a7cc1003d028bc292e858edb2",2,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","1e0be6c7b6034ebaf89d1606d50b8d9cace1b18c","phone","{""event_content"":{""hotjar_id"":""93f793c7""},""page"":{""request_id"":""a01b6f862cb8d07a75c1"",""apartment_id"":""ff5c3fc938d77dabbddf"",""start"":""2021-09-10"",""end"":""2022-09-10"",",365,"Berlin","DE",1260,0,1819.44,15162,"EUR","control","Not_instant","Verified",15162
"102","a94e75084c7e7cbee94614888115d25cc735ec8f",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","f7752bc4a2d0a25346c80e076bd1f6bbac17e003","desktop","{""event_content"":{""hotjar_id"":""81831893"",""request_id"":""0f98465fc626efa6aefe"",""request_status"":""booked""},""page"":{""request_id"":""0f98465fc626efa6aefe"",""apartment_id"":""6201d9150a8c14763b5e"",""start"":""2021-09-15"",""end"":""2021-10-23"",",38,"Madrid","ES",5010.27,291.27,722.1588,6017.99,"EUR","control","Instant","Verified",6017.99
"103","a991026f79c4f61296934b94d6c170b3488116c1",2,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","765896eeed908bc63dd2001ad9f41c329df2e52f","desktop","{""event_content"":{},""page"":{""request_id"":""aec6a901a24984f7cb07"",""apartment_id"":""001b404733dc9222a82f"",""start"":""2021-08-13"",""end"":""2021-09-18"",",36,"Amsterdam","NL",1700,0,247.4328,2061.94,"EUR","control","Not_instant","Verified",2061.94
"104","aa6e483a280d77c12b3674524d9a914755acb078",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","356bd4a03e6ed1cd9460980bee3fe2ffd54c14d0","desktop","{""event_content"":{},""page"":{""request_id"":""dbc7a0f0882469a70ba9"",""apartment_id"":""uHDqXY2b5v9c57vSc"",""start"":""2021-07-17"",""end"":""2021-08-17"",",31,"London","GB",1,1881,0,1941.68,"GBP","control","Not_instant","Verified",2291.1824
"105","adfb12514ca76c7ba53bbc064e875fcec84a11ea",2,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","af3cca6b16ee498872933084c97829fd5ef00e7a","phone","{""event_content"":{},""page"":{""request_id"":""4b058ed12a41fa809b2c"",""apartment_id"":""76c3bab65bdc4287140f"",""start"":""2021-07-19"",""end"":""2021-08-22"",",34,"Madrid","ES",5,1436.64,74.44,1537.97,"EUR","control","Instant","Verified",1537.97
"106","b3d2297f71b092344b7a663a84e39b56faf71a59",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","6a1c3497599f8bc35c9e48402c10270a37c610cc","phone","{""event_content"":{},""page"":{""request_id"":""14a812222dc127237d46"",""apartment_id"":""1e134b11f7f88ced874e"",""start"":""2021-07-28"",""end"":""2021-10-31"",",95,"Ostfildern","DE",1336,236,413.0328,3441.94,"EUR","test","Not_instant","Verified",3441.94
"107","b4e8b53c901fa2deb4e9999ab4e211e7cbc6f5c5",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","f9f86c566345265c81ccef58fc1312341a0bdc93","phone","{""event_content"":{""hotjar_id"":""ca0ab32c"",""path"":""/request/b064840120a9fe4c6c15/success""},""page"":{""request_id"":""b064840120a9fe4c6c15"",""apartment_id"":""u4mBkg4rwqBZdoeSp"",""start"":""2021-08-09"",""end"":""2021-10-08"",",60,"Berlin","DE",1540,0,369.6,3080,"EUR","test","Not_instant","Verified",3080
"108","b7ecbc3d37ac535b893456bdbc6748a9acf3fb14",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","b5a046c52c7e42318125d62c1062794803c45044","desktop","{""event_content"":{},""page"":{""request_id"":""74dae0533f3c4c043bfc"",""apartment_id"":""b079180ff79cb56497b9"",""start"":""2021-09-05"",""end"":""2022-01-31"",",148,"Vienna","AT",3195,295,1693.5996,14113.33,"EUR","test","Not_instant","Verified",14113.33
"109","b8c477dd4384a42e5111a350c51dd05e076f6f0b",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","c95b0a7f34e357786dc54d6d948381db5a3d1738","phone","{""event_content"":{},""page"":{""request_id"":""3a6e9a067e4e18fb3640"",""apartment_id"":""4a716f0bf098769f67e4"",""start"":""2021-07-15"",""end"":""2021-08-18"",",34,"Barcelona","ES",1505.13,77.99,193.3548,1611.29,"EUR","control","Not_instant","Verified",1611.29
"110","bb13cedc686b5346a694d8081f027d914469bb95",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","fc3bb645e1950566ef76e708a820c5b7d58845cd","desktop","{""event_content"":{""path"":""/request/65746a33b139455baf77/success""},""page"":{""request_id"":""65746a33b139455baf77"",""apartment_id"":""98f79229d09c6faff570"",""start"":""2021-07-18"",""end"":""2021-08-18"",",31,"Munich","DE",1,1000,0,1032.26,"EUR","control","Not_instant","Verified",1032.26
"111","bb1ff05bb9ef3fccbbd55cca3ea79aaf4cb31b0b",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","53763053cf434ed877dee4fc8b0b105b924b95b4","phone","{""event_content"":{""hotjar_id"":""986adcd9""},""page"":{""request_id"":""f6cee41b65f5365ea0a1"",""apartment_id"":""181c4733a0d339b4905f"",""start"":""2021-08-18"",""end"":""2022-04-30"",",255,"Berlin","DE",1947.5,0,1975.1424,16459.52,"EUR","test","Not_instant","Verified",16459.52
"112","bc453afb97875bc7522605f59c56942688dae0ec",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","be03a4f3f39ad57038d43a906083bb7a27b150e4","desktop","{""event_content"":{},""page"":{""request_id"":""8f27ed68f8341d60db99"",""apartment_id"":""27c10d336b9006b0bb29"",""start"":""2021-08-01"",""end"":""2022-01-31"",",183,"Berlin","DE",1210,0,871.2,7260,"EUR","control","Not_instant","Verified",7260
"113","bd5b3089d3b073f901e85261662283790e1e5b0c",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","bd5b3089d3b073f901e85261662283790e1e5b0c","phone","{""event_content"":{},""page"":{""request_id"":""73767dd09cce0bbc2c78"",""apartment_id"":""72120ad777e878d5c5f3"",""start"":""2021-07-28"",""end"":""2021-08-31"",",34,"Seville","ES",1144.29,59.29,147,1225,"EUR","control","Not_instant","Verified",1225
"114","bdf569649ede1782c12358e17b94927c439e2740",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","79e924899d994fc3c63bbf922a13c37f59acd16c","phone","{""event_content"":{},""page"":{""request_id"":""668874107fb83a23a01f"",""apartment_id"":""826691b96f9c2b0eeb07"",""start"":""2021-07-16"",""end"":""2021-08-16"",",31,"Zürich","CH",1800,0,222.9672,1858.06,"CHF","test","Not_instant","Verified",1746.5764
"115","c3abff3cfa6966ae41e8608b2bb20ae4b3bb874a",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","03f1eb94706808451d321e68002ec98b2bccd774","desktop","{""event_content"":{},""page"":{""request_id"":""403097553ab992ddadab"",""apartment_id"":""30dbf3c3f937a955e6c9"",""start"":""2021-09-01"",""end"":""2021-10-31"",",60,"Zürich","CH",1790,0,429.6,3580,"CHF","control","Not_instant","Verified",3365.2
"116","c45990beb95fb4418afb9c6bcc013c68b195e03c",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","859eadbfcd083ae09aa7f3b533164009752dbf53","desktop","{""event_content"":{""hotjar_id"":""235aaaef"",""path"":""/request/00d37b8984a1153c6a30/success""},""page"":{""request_id"":""00d37b8984a1153c6a30"",""apartment_id"":""91f04630ec34ed6739f7"",""start"":""2021-08-14"",""end"":""2021-10-02"",",49,"Birmingham","GB",2000,0,394.8384,3290.32,"GBP","control","Instant","Verified",3882.5776
"117","caef6bb0c9f0c8aacbdfc3078bf66613fe244a68",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","a918e54042381eaca26756ae917b6c2f22286860","desktop","{""event_content"":{""hotjar_id"":""d19c93a5"",""request_id"":""5e9889c651f59ade55eb"",""request_status"":""finished""},""page"":{""request_id"":""5e9889c651f59ade55eb"",""apartment_id"":""70e669d839cab0d04b85"",""start"":""2021-09-01"",""end"":""2022-01-31"",",152,"Madrid","ES",1572.37,306.37,759.6,6330,"EUR","control","Not_instant","Verified",6330
"118","cb07c45fe95ee4206e056ead620153b00af9000e",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","4bfc2456f783c915828febfdf72500f11babb61f","phone","{""event_content"":{""hotjar_id"":""4170f472""},""page"":{""request_id"":""a33ee118c3c41359be52"",""apartment_id"":""2bb9676b9e2a10bcb"",""start"":""2021-08-27"",""end"":""2021-10-28"",",62,"Madrid","ES",1390.74,126.34,313.2432,2610.36,"EUR","control","Not_instant","Verified",2610.36
"119","cba282c1e0a25c16832e8272d4c1f3365760a4cc",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","7625042579497d8b1e03eb4b3b3c3e5d385f1d6e","desktop","{""event_content"":{""path"":""/request/039195dc4e107a58031d/success""},""page"":{""request_id"":""039195dc4e107a58031d"",""apartment_id"":""239ed29ac43aca7dd1dd"",""start"":""2021-10-09"",""end"":""2021-11-19"",",41,"Paris","FR",4100,0,676.632,5638.6,"EUR","test","Not_instant","Verified",5638.6
"120","d0850ef46b5f93eeeedf4ff0f9038062d19f8bfa",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","02baa6fb3042dcb8c5b291c6d723ce9ac6711397","desktop","{""event_content"":{},""page"":{""request_id"":""3d0d2bb0d66d95428cad"",""apartment_id"":""7624000595d3086374de"",""start"":""2021-08-15"",""end"":""2022-01-31"",",169,"Berlin","DE",3,1100,0,6103.23,"EUR","test","Not_instant","Verified",6103.23
"121","d222c94720c98a0fd79d3347a8b9c0a91d20f8ea",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","127162e2872c3fd76fe4c3478f67f56383c2162a","desktop","{""event_content"":{},""page"":{""request_id"":""a868a9d4bc0d8a3d55ff"",""apartment_id"":""560284943fde4b049603"",""start"":""2021-07-26"",""end"":""2021-12-31"",",158,"Offenbach","DE",894.52,0,557.4876,4645.73,"EUR","test","Not_instant","Verified",4645.73
"122","d37e680a25e342ad22e19367304f286abdf35241",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","c60398a73ba666dc0f92200809a4b959cb0db0ba","desktop","{""event_content"":{""hotjar_id"":""55e15603""},""page"":{""request_id"":""9ab4e4a5d6479584af27"",""apartment_id"":""0cfc3a97ef668a5b56b3"",""start"":""2021-08-09"",""end"":""2021-09-30"",",52,"Berlin","DE",1490,0,311.4576,2595.48,"EUR","test","Instant","Verified",2595.48
"123","d839af31dfb5f120554e0ae8b2a361b28743d839",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","e7c5c5552c4aa2f51f371f0f4533859f4ecd8594","phone","{""event_content"":{""hotjar_id"":""fdd1db3c"",""path"":""/request/76bb448b4062a3124d56/success""},""page"":{""request_id"":""76bb448b4062a3124d56"",""apartment_id"":""yHgghg777df6s2H27"",""start"":""2021-08-01"",""end"":""2024-08-01"",",1096,"Cologne","DE",874,0,3779.0628,31492.19,"EUR","test","Not_instant","Verified",31492.19
"124","da5e1371ec2465532b5247e00edaa1ecfece2c81",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","2aca128af90aa63cd09cb77e2c5a2548269ab97e","desktop","{""event_content"":{},""page"":{""request_id"":""ead6ae04327b5a051d24"",""apartment_id"":""83161a597f97d1b7e54b"",""start"":""2022-08-20"",""end"":""2022-09-30"",",41,"Vienna","AT",6360.2,0,1058.6652,8822.21,"EUR","test","Not_instant","Verified",8822.21
"125","e0776a66b529d0195a30c1e304b31f4e7e4697a1",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","e0776a66b529d0195a30c1e304b31f4e7e4697a1","desktop","{""event_content"":{""hotjar_id"":""1efc849e"",""request_id"":""e14b715249b2eeec879c"",""request_status"":""booked""},""page"":{""request_id"":""e14b715249b2eeec879c"",""apartment_id"":""0083f6eba7eb61c1c"",""start"":""2021-07-22"",""end"":""2021-08-21"",",30,"Dublin","IE",3950,0,474,3950,"EUR","control","Instant","Verified",3950
"126","e5f791eae36312246e25cd34185f3248c0f4553c",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","f6aa4eba2572d096120271363c1001357c9e08a1","desktop","{""event_content"":{""hotjar_id"":""f3975716"",""request_id"":""90a2929b9103c3e1a388"",""request_status"":""finished""},""page"":{""request_id"":""90a2929b9103c3e1a388"",""apartment_id"":""75cb8a775dfcde1b4ae2"",""start"":""2021-09-01"",""end"":""2022-01-31"",",152,"Berlin","DE",880,0,528,4400,"EUR","control","Not_instant","Verified",4400
"127","e7737fc1715ba0bdd1881783598211c1729a4e7d",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","8392d15f664ff16d445328a6c8b5e662b435ff7f","phone","{""event_content"":{},""page"":{""request_id"":""6e7ceab397a9c0e0fe17"",""apartment_id"":""2764ec2390ca44f7755a"",""start"":""2021-07-21"",""end"":""2021-08-31"",",41,"Regensburg","DE",2118,118,325.1616,2709.68,"EUR","control","Not_instant","Verified",2709.68
"128","e986a6a5624bdb609cdcb0ec415c903719ca0590",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","e986a6a5624bdb609cdcb0ec415c903719ca0590","desktop","{""event_content"":{""hotjar_id"":""ade4874b""},""page"":{""request_id"":""2654c686c48253a82015"",""apartment_id"":""a48ff3f6ba96971ab2a8"",""start"":""2021-08-03"",""end"":""2021-10-03"",",61,"Marburg","DE",1337.5,0,326.178,2718.15,"EUR","test","Not_instant","Verified",2718.15
"129","edb78eef8a13390f2335e2b36aab7b3a7a384182",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","88c1f774edfecad72a5480c415fe40de2974cc61","desktop","{""event_content"":{},""page"":{""request_id"":""9cd652cbc2de0afa5d59"",""apartment_id"":""ae2b2a5f1f2470bd5ee4"",""start"":""2021-08-29"",""end"":""2021-10-01"",",33,"Amsterdam","NL",2,2150,0,2427.42,"EUR","test","Not_instant","Verified",2427.42
"130","ee9bc7f04d2b95a3ae4eb444176f10ead1bb3a82",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","4ed7abaa11e3947e1db9263418276cb3af937037","phone","{""event_content"":{},""page"":{""request_id"":""3683cfb9aa92f35888a3"",""apartment_id"":""9648ed51ed4fd129fd96"",""start"":""2021-07-18"",""end"":""2021-08-31"",",44,"London","GB",4065.8,0,708.2364,5901.97,"GBP","control","Not_instant","Verified",6964.3246
"131","eea993df58fd6fe58f25249df766244f5d1843a4",2,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","d92cdeff52dd29bf511ee568303c42cfc097e981","phone","{""event_content"":{},""page"":{""request_id"":""4136354fe6b4df15293a"",""apartment_id"":""07774ccd4d8abfcc1842"",""start"":""2021-09-01"",""end"":""2022-08-01"",",334,"Berlin","DE",1190,0,1575.4068,13128.39,"EUR","test","Not_instant","Verified",13128.39
"132","f05d3770c03976b547502c5ecc17cd4030035278",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","afd1af0dc105ed7f243d24b57f283ae57fa4ca9d","tablet","{""event_content"":{},""page"":{""request_id"":""35f195e2e3fc60fc96a3"",""apartment_id"":""vixdHKu2kaQmZ7eQz"",""start"":""2021-10-01"",""end"":""2021-12-31"",",91,"Koblenz","DE",940.5,0,338.58,2821.5,"EUR","control","Not_instant","Verified",2821.5
"133","f1f63d2b72dfb5cba97f4680a754acc6966d4ecf",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","f1f63d2b72dfb5cba97f4680a754acc6966d4ecf","desktop","{""event_content"":{""hotjar_id"":""4ce03aaf""},""page"":{""request_id"":""0e50107a9434ebba90b3"",""apartment_id"":""f7025f0c4e884d3cd667"",""start"":""2021-07-29"",""end"":""2021-08-31"",",33,"Berlin","DE",1490.17,0,196.1256,1634.38,"EUR","test","Instant","Verified",1634.38
"134","f273c5e7580eb02eea4c81fd55dab2e447e6149e",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","f273c5e7580eb02eea4c81fd55dab2e447e6149e","phone","{""event_content"":{},""page"":{""request_id"":""b595871221c7c6639803"",""apartment_id"":""ovTmyKur2S8qrMuSg"",""start"":""2021-07-18"",""end"":""2021-08-17"",",30,"Nuremberg","DE",750,0,90,750,"EUR","control","Instant","Verified",750
"135","f6c08d502293603d02eb0a90ca5d6d4c4e24cdac",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","8ec2fadf33930e9d5de443221d3dc120c638b02b","phone","{""event_content"":{},""page"":{""request_id"":""e5151dc80d8e0ac66593"",""apartment_id"":""ce968fc081e49310d672"",""start"":""2021-07-26"",""end"":""2021-08-25"",",30,"London","GB",2270.1,0,272.412,2270.1,"GBP","test","Instant","Verified",2678.718
"136","f6cd4bdb0f77925d9d50bc3006ad825c91e52317",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","5f76b9d555a5b8a5ef7269143e1592144a9f2c1a","desktop","{""event_content"":{""hotjar_id"":""135e2c2c""},""page"":{""request_id"":""f088bca40bded0fbebe2"",""apartment_id"":""B8Yj7J2ig7eGEZyxX"",""start"":""2021-09-05"",""end"":""2021-11-20"",",76,"Frankfurt","DE",990,0,300.96,2508,"EUR","control","Not_instant","Verified",2508
"137","fb0e0c5bc64739011edc1a14e44a215632445e08",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","fb0e0c5bc64739011edc1a14e44a215632445e08","desktop","{""event_content"":{""request_id"":""2ee1e90163ccae9a6068"",""request_status"":""booked""},""page"":{""request_id"":""2ee1e90163ccae9a6068"",""apartment_id"":""6cef7ed8552dd8cf0a79"",""start"":""2021-07-26"",""end"":""2021-09-17"",",53,"Vienna","AT",1618,118,313.548,2612.9,"EUR","control","Instant","Not_verified",2612.9
"138","fc7a6697c040d28e91d1a69cfe917bf280481380",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","05728770a793a4f5f311b743d3415cadbd4f9563","desktop","{""event_content"":{""hotjar_id"":""f5607aff""},""page"":{""request_id"":""86ac7f3ffd17e707fa12"",""apartment_id"":""6JqQbmZhPsXTZqqf2"",""start"":""2021-08-01"",""end"":""2021-11-30"",",121,"Berlin","DE",1490,0,715.2,5960,"EUR","control","Not_instant","Verified",5960
"139","fd487f539c67ebeda9ee6219712008ecebaa05e5",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""ref"",""cbnw"":""ref""}","bf5101f5537d7d127984e8c29d4b1a6e7f5e00c2","desktop","{""event_content"":{},""page"":{""request_id"":""4061fe920d6096ccc4e4"",""apartment_id"":""05aa47a29ecc40569c08"",""start"":""2021-07-26"",""end"":""2021-08-25"",",30,"Stuttgart","DE",900,0,108,900,"EUR","control","Not_instant","Verified",900
"140","fd6dd0bf5c0143177d348b90cf56869bfae24c07",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","f1c6290ae5be2b00f138e3122f5c0c68934f066a","desktop","{""event_content"":{},""page"":{""request_id"":""590da1116e09f52ef267"",""apartment_id"":""e4bdefb857e5d18e6e26"",""start"":""2021-09-15"",""end"":""2021-12-21"",",97,"Linz","AT",1380,0,531.7008,4430.84,"EUR","test","Not_instant","Verified",4430.84
"141","fdce801f3089e1f4428867e7ec573b5fb9802cbb",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""show"",""rcsp"":""show"",""cbnw"":""ref""}","887a22e97bbfd54419522228dd4836a954a31479","desktop","{""event_content"":{""request_id"":""9d4b28232749846cd927"",""request_status"":""booked""},""page"":{""request_id"":""9d4b28232749846cd927"",""apartment_id"":""Pt8ZBcnyGQnMZG5XW"",""start"":""2021-07-19"",""end"":""2021-09-18"",",61,"Berlin","DE",2,1290,0,2580,"EUR","test","Not_instant","Verified",2580
"142","fe0c893c183e0f01bc61ada95d5cf15e8640283f",1,"{""lofi"":""show"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""ref"",""cbnw"":""ref""}","fe0c893c183e0f01bc61ada95d5cf15e8640283f","desktop","{""event_content"":{},""page"":{""request_id"":""7416debc898f04e2c3b4"",""apartment_id"":""fdc7deb7b7621db577b3"",""start"":""2021-10-15"",""end"":""2021-12-14"",",60,"Basel","CH",1805,0,433.2,3610,"CHF","control","Not_instant","Verified",3393.4
"143","ffc3601dbf1d73ca3748d6f013ab80c9c4272d7c",1,"{""lofi"":""ref"",""rarsp"":""ref"",""fdspi"":""ref"",""rcsp"":""show"",""cbnw"":""ref""}","ffc3601dbf1d73ca3748d6f013ab80c9c4272d7c","phone","{""event_content"":{},""page"":{""request_id"":""b595871221c7c6639803"",""apartment_id"":""ovTmyKur2S8qrMuSg"",""start"":""2021-07-18"",""end"":""2021-08-17"",",30,"Nuremberg","DE",750,0,90,750,"EUR","test","Instant","Verified",750
